startDice, runs, increaseCount, decreaseCount, refillBool
10,47,6,14,1
12,285,18,28,1
6,55,7,11,1
8,91,6,12,1
10,119,9,17,1
12,638,46,56,1
6,25,2,6,1
8,59,6,12,1
10,84,2,10,1
12,343,27,37,1
6,9,0,4,1
8,15,1,7,1
10,142,2,10,1
12,113,7,17,1
6,69,6,10,1
8,26,0,6,1
10,74,5,13,1
12,218,14,24,1
6,43,2,6,1
8,70,5,11,1
10,118,5,13,1
12,348,28,38,1
6,19,0,4,1
8,34,1,7,1
10,139,4,12,1
12,511,40,50,1
6,42,4,8,1
8,117,7,13,1
10,170,19,27,1
12,195,15,25,1
6,14,1,5,1
8,44,4,10,1
10,311,23,31,1
12,102,6,16,1
6,6,0,4,1
8,46,1,7,1
10,122,7,15,1
12,65,4,14,1
6,43,2,6,1
8,48,4,10,1
10,71,6,14,1
12,306,25,35,1
6,47,0,4,1
8,27,3,9,1
10,62,2,10,1
12,63,3,13,1
6,9,0,4,1
8,293,24,30,1
10,412,29,37,1
12,144,12,22,1
6,42,2,6,1
8,40,2,8,1
10,209,22,30,1
12,100,7,17,1
6,135,9,13,1
8,94,5,11,1
10,286,14,22,1
12,185,18,28,1
6,29,4,8,1
8,43,0,6,1
10,228,18,26,1
12,466,26,36,1
6,17,1,5,1
8,89,6,12,1
10,148,8,16,1
12,591,51,61,1
6,14,1,5,1
8,133,11,17,1
10,221,16,24,1
12,173,13,23,1
6,9,1,5,1
8,61,8,14,1
10,324,22,30,1
12,229,19,29,1
6,23,1,5,1
8,27,2,8,1
10,116,3,11,1
12,66,2,12,1
6,19,0,4,1
8,108,6,12,1
10,59,4,12,1
12,314,19,29,1
6,14,1,5,1
8,60,5,11,1
10,60,2,10,1
12,100,5,15,1
6,99,8,12,1
8,55,5,11,1
10,155,12,20,1
12,436,38,48,1
6,22,1,5,1
8,49,2,8,1
10,150,8,16,1
12,124,9,19,1
6,13,0,4,1
8,24,1,7,1
10,193,20,28,1
12,540,36,46,1
6,25,2,6,1
8,84,3,9,1
10,229,19,27,1
12,393,27,37,1
6,95,7,11,1
8,78,6,12,1
10,97,7,15,1
12,468,34,44,1
6,33,2,6,1
8,67,4,10,1
10,119,11,19,1
12,242,18,28,1
6,50,2,6,1
8,84,7,13,1
10,76,7,15,1
12,157,9,19,1
6,54,2,6,1
8,125,8,14,1
10,243,25,33,1
12,186,12,22,1
6,36,4,8,1
8,56,4,10,1
10,71,3,11,1
12,363,21,31,1
6,21,1,5,1
8,91,7,13,1
10,191,10,18,1
12,402,36,46,1
6,13,1,5,1
8,53,3,9,1
10,297,28,36,1
12,349,25,35,1
6,32,2,6,1
8,55,6,12,1
10,85,8,16,1
12,413,26,36,1
6,17,3,7,1
8,73,7,13,1
10,75,7,15,1
12,348,28,38,1
6,32,1,5,1
8,65,5,11,1
10,84,6,14,1
12,134,10,20,1
6,41,5,9,1
8,201,18,24,1
10,215,25,33,1
12,228,21,31,1
6,60,2,6,1
8,52,3,9,1
10,257,25,33,1
12,123,7,17,1
6,50,3,7,1
8,44,1,7,1
10,229,14,22,1
12,201,11,21,1
6,44,2,6,1
8,80,7,13,1
10,115,9,17,1
12,145,13,23,1
6,37,1,5,1
8,124,10,16,1
10,139,12,20,1
12,103,8,18,1
6,34,2,6,1
8,56,3,9,1
10,35,1,9,1
12,414,45,55,1
6,50,4,8,1
8,30,2,8,1
10,815,61,69,1
12,344,23,33,1
6,56,3,7,1
8,209,17,23,1
10,45,4,12,1
12,256,17,27,1
6,6,0,4,1
8,155,14,20,1
10,136,9,17,1
12,334,26,36,1
6,31,2,6,1
8,76,2,8,1
10,231,24,32,1
12,80,7,17,1
6,19,1,5,1
8,22,2,8,1
10,516,50,58,1
12,62,1,11,1
6,34,3,7,1
8,46,5,11,1
10,160,12,20,1
12,381,30,40,1
6,22,0,4,1
8,52,2,8,1
10,130,11,19,1
12,210,16,26,1
6,23,2,6,1
8,77,4,10,1
10,113,7,15,1
12,312,32,42,1
6,46,2,6,1
8,63,7,13,1
10,142,11,19,1
12,131,7,17,1
6,49,3,7,1
8,97,5,11,1
10,34,0,8,1
12,740,48,58,1
6,11,0,4,1
8,96,9,15,1
10,210,19,27,1
12,267,17,27,1
6,20,0,4,1
8,69,2,8,1
10,54,3,11,1
12,82,7,17,1
6,15,1,5,1
8,63,4,10,1
10,102,9,17,1
12,199,13,23,1
6,32,2,6,1
8,92,6,12,1
10,301,26,34,1
12,456,41,51,1
6,7,0,4,1
8,69,7,13,1
10,281,24,32,1
12,231,18,28,1
6,63,3,7,1
8,28,0,6,1
10,114,15,23,1
12,377,28,38,1
6,43,1,5,1
8,53,5,11,1
10,226,14,22,1
12,130,14,24,1
6,17,1,5,1
8,100,11,17,1
10,162,13,21,1
12,241,17,27,1
6,13,1,5,1
8,55,5,11,1
10,261,15,23,1
12,198,13,23,1
6,38,3,7,1
8,182,18,24,1
10,400,28,36,1
12,122,12,22,1
6,41,1,5,1
8,211,14,20,1
10,270,20,28,1
12,42,2,12,1
6,14,2,6,1
8,58,6,12,1
10,184,22,30,1
12,361,28,38,1
6,29,2,6,1
8,80,8,14,1
10,436,46,54,1
12,372,26,36,1
6,38,4,8,1
8,39,4,10,1
10,111,10,18,1
12,285,17,27,1
6,13,0,4,1
8,138,9,15,1
10,221,17,25,1
12,177,12,22,1
6,39,2,6,1
8,23,1,7,1
10,106,10,18,1
12,241,17,27,1
6,52,4,8,1
8,54,5,11,1
10,135,5,13,1
12,641,46,56,1
6,31,2,6,1
8,62,5,11,1
10,21,0,8,1
12,216,16,26,1
6,22,0,4,1
8,19,0,6,1
10,76,2,10,1
12,64,3,13,1
6,48,3,7,1
8,17,0,6,1
10,76,6,14,1
12,206,18,28,1
6,20,3,7,1
8,76,5,11,1
10,62,6,14,1
12,185,14,24,1
6,23,3,7,1
8,162,19,25,1
10,75,3,11,1
12,235,21,31,1
6,38,5,9,1
8,99,12,18,1
10,68,5,13,1
12,379,33,43,1
6,13,0,4,1
8,40,2,8,1
10,135,7,15,1
12,461,34,44,1
6,18,0,4,1
8,48,2,8,1
10,166,12,20,1
12,525,39,49,1
6,21,3,7,1
8,49,4,10,1
10,196,19,27,1
12,576,37,47,1
6,36,2,6,1
8,43,3,9,1
10,42,3,11,1
12,714,60,70,1
6,18,1,5,1
8,61,5,11,1
10,46,3,11,1
12,236,13,23,1
6,12,0,4,1
8,45,4,10,1
10,105,9,17,1
12,198,13,23,1
6,11,0,4,1
8,100,8,14,1
10,190,16,24,1
12,175,14,24,1
6,30,2,6,1
8,32,1,7,1
10,79,5,13,1
12,131,8,18,1
6,34,1,5,1
8,67,6,12,1
10,356,30,38,1
12,350,21,31,1
6,10,0,4,1
8,23,1,7,1
10,166,11,19,1
12,211,22,32,1
6,27,2,6,1
8,248,24,30,1
10,70,4,12,1
12,309,28,38,1
6,11,1,5,1
8,54,1,7,1
10,49,1,9,1
12,321,16,26,1
6,23,1,5,1
8,91,4,10,1
10,70,6,14,1
12,730,60,70,1
6,14,1,5,1
8,78,6,12,1
10,360,23,31,1
12,264,23,33,1
6,56,6,10,1
8,85,7,13,1
10,334,27,35,1
12,169,13,23,1
6,20,0,4,1
8,26,1,7,1
10,232,16,24,1
12,480,31,41,1
6,23,2,6,1
8,175,11,17,1
10,321,27,35,1
12,461,35,45,1
6,48,2,6,1
8,98,10,16,1
10,194,23,31,1
12,375,23,33,1
6,49,4,8,1
8,44,3,9,1
10,184,12,20,1
12,82,2,12,1
6,17,1,5,1
8,120,12,18,1
10,185,13,21,1
12,100,2,12,1
6,17,1,5,1
8,67,5,11,1
10,128,7,15,1
12,441,37,47,1
6,10,0,4,1
8,59,7,13,1
10,38,1,9,1
12,450,26,36,1
6,40,2,6,1
8,258,24,30,1
10,114,6,14,1
12,430,28,38,1
6,13,0,4,1
8,67,6,12,1
10,223,15,23,1
12,103,9,19,1
6,29,2,6,1
8,33,4,10,1
10,58,6,14,1
12,163,7,17,1
6,53,6,10,1
8,91,8,14,1
10,224,19,27,1
12,572,46,56,1
6,31,2,6,1
8,77,7,13,1
10,123,11,19,1
12,60,2,12,1
6,41,3,7,1
8,118,9,15,1
10,117,6,14,1
12,655,55,65,1
6,20,1,5,1
8,75,3,9,1
10,103,7,15,1
12,447,33,43,1
6,21,0,4,1
8,121,7,13,1
10,45,4,12,1
12,149,11,21,1
6,90,7,11,1
8,87,11,17,1
10,196,18,26,1
12,191,11,21,1
6,9,1,5,1
8,112,9,15,1
10,355,28,36,1
12,378,24,34,1
6,45,3,7,1
8,37,1,7,1
10,93,7,15,1
12,180,13,23,1
6,10,1,5,1
8,154,13,19,1
10,97,7,15,1
12,278,18,28,1
6,27,4,8,1
8,27,3,9,1
10,141,15,23,1
12,154,7,17,1
6,39,3,7,1
8,51,3,9,1
10,152,8,16,1
12,447,46,56,1
6,19,1,5,1
8,106,15,21,1
10,75,7,15,1
12,187,12,22,1
6,17,0,4,1
8,44,3,9,1
10,48,3,11,1
12,570,50,60,1
6,16,2,6,1
8,67,6,12,1
10,95,9,17,1
12,335,25,35,1
6,14,0,4,1
8,60,1,7,1
10,210,14,22,1
12,299,24,34,1
6,40,2,6,1
8,25,1,7,1
10,74,4,12,1
12,178,16,26,1
6,23,2,6,1
8,133,11,17,1
10,229,20,28,1
12,323,23,33,1
6,52,3,7,1
8,87,6,12,1
10,67,3,11,1
12,110,7,17,1
6,53,2,6,1
8,161,11,17,1
10,177,14,22,1
12,69,1,11,1
6,15,1,5,1
8,44,4,10,1
10,86,6,14,1
12,1000,63,68,1
6,43,3,7,1
8,115,13,19,1
10,133,11,19,1
12,139,6,16,1
6,24,0,4,1
8,62,2,8,1
10,244,15,23,1
12,429,32,42,1
6,12,0,4,1
8,50,3,9,1
10,73,3,11,1
12,159,12,22,1
6,8,0,4,1
8,34,3,9,1
10,149,8,16,1
12,122,7,17,1
